City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,Katangli,51.7102,143.2326,27.79,88,100,20.47,RU,2022-04-10 23:16:50
108,Valkeala,60.9401,26.7979,36.0,80,75,11.5,FI,2022-04-10 23:16:50
109,Brooks,50.5834,-111.8851,40.98,20,100,19.57,CA,2022-04-10 23:16:50
110,Barcelos,41.5388,-8.6151,57.85,77,53,12.21,PT,2022-04-10 23:15:03
111,Nelson Bay,-32.7167,152.15,73.0,83,11,7.0,AU,2022-04-10 23:16:51
112,Khani,41.9563,42.9566,49.57,67,82,8.19,GE,2022-04-10 23:16:51
113,Kodiak,57.79,-152.4072,45.91,31,0,10.36,US,2022-04-10 23:16:51
114,Diego De Almagro,-26.3667,-70.05,63.03,38,0,4.76,CL,2022-04-10 23:16:21
115,Inyonga,-6.7167,32.0667,63.77,88,38,3.89,TZ,2022-04-10 23:16:52
116,Coquimbo,-29.9533,-71.3436,56.93,88,20,10.36,CL,2022-04-10 23:12:51
117,Georgetown,5.4112,100.3354,80.53,92,20,3.44,MY,2022-04-10 23:16:36
118,Tiznit,29.5833,-9.5,65.03,61,40,1.48,MA,2022-04-10 23:16:52
119,Biskamzha,53.4497,89.5272,24.55,96,100,2.51,RU,2022-04-10 23:16:53
120,Prince Rupert,54.3161,-130.3201,48.29,57,0,10.36,CA,2022-04-10 23:16:53
121,Marzuq,14.4,46.4667,69.24,33,0,5.39,YE,2022-04-10 23:16:53
122,Chuy,-33.6971,-53.4616,68.23,88,26,12.8,UY,2022-04-10 23:12:57
123,Qaanaaq,77.484,-69.3632,-5.84,75,23,6.44,GL,2022-04-10 23:16:54
124,Santa Maria,-29.6842,-53.8069,69.1,100,20,2.3,BR,2022-04-10 23:16:54
125,Butaritari,3.0707,172.7902,79.97,78,95,8.52,KI,2022-04-10 23:16:54
126,Nazare,-13.035,-39.0144,74.25,86,2,2.51,BR,2022-04-10 23:16:55
127,Ribas Do Rio Pardo,-20.4431,-53.7592,80.67,66,70,4.32,BR,2022-04-10 23:16:55
128,Ilulissat,69.2167,-51.1,17.62,73,20,2.3,GL,2022-04-10 23:16:56
129,Emerald,-23.5333,148.1667,78.35,66,0,7.54,AU,2022-04-10 23:15:18
130,Port-Gentil,-0.7193,8.7815,80.19,85,30,10.16,GA,2022-04-10 23:16:56
131,La Palma,33.8464,-118.0467,76.91,61,20,11.5,US,2022-04-10 23:16:56
132,Puerto Colombia,10.9878,-74.9547,80.69,84,99,23.15,CO,2022-04-10 23:16:57
133,Cooma,-36.2333,149.1333,58.77,94,100,5.75,AU,2022-04-10 23:16:57
134,Albany,42.6001,-73.9662,43.36,63,86,14.25,US,2022-04-10 23:15:26
135,Xining,36.6167,101.7667,48.33,26,100,5.95,CN,2022-04-10 23:16:57
136,Ribeira Grande,38.5167,-28.7,57.6,67,75,24.16,PT,2022-04-10 23:17:58
137,Biak,-0.9131,122.8766,78.15,77,97,5.77,ID,2022-04-10 23:17:58
138,Ancud,-41.8697,-73.8203,49.23,80,46,4.63,CL,2022-04-10 23:14:08
139,Komsomolskiy,40.4272,71.7189,66.9,47,48,4.12,UZ,2022-04-10 23:17:59
140,Gladstone,-23.85,151.25,78.78,61,1,12.66,AU,2022-04-10 23:17:59
141,Vardo,70.3705,31.1107,34.45,100,100,26.75,NO,2022-04-10 23:17:59
142,Les Cayes,18.2,-73.75,78.39,76,66,3.42,HT,2022-04-10 23:17:59
143,Kharan,28.5833,65.4167,78.21,10,100,2.57,PK,2022-04-10 23:18:00
144,Genhe,50.7833,121.5167,26.1,77,26,5.88,CN,2022-04-10 23:18:00
145,Rorvik,64.8621,11.2373,38.8,97,100,35.99,NO,2022-04-10 23:18:01
146,Kilindoni,-7.9139,39.6668,82.78,75,15,16.49,TZ,2022-04-10 23:18:01
147,San Carlos De Bariloche,-41.1456,-71.3082,47.95,57,75,12.66,AR,2022-04-10 23:18:01
148,Boa Vista,2.8197,-60.6733,82.38,65,75,11.5,BR,2022-04-10 23:18:02
149,Mlonggo,-6.5333,110.7,77.56,84,100,3.98,ID,2022-04-10 23:18:02
150,Airai,-8.9266,125.4092,62.69,68,62,2.35,TL,2022-04-10 23:18:02
151,Mbini,1.574,9.6134,78.94,80,29,5.37,GQ,2022-04-10 23:18:03
152,Ust-Ordynskiy,52.805,104.7508,29.52,79,95,4.09,RU,2022-04-10 23:18:03
153,Narsaq,60.9167,-46.05,32.22,57,100,2.57,GL,2022-04-10 23:18:03
154,Luderitz,-26.6481,15.1594,70.25,51,1,5.06,NA,2022-04-10 23:18:04
155,Moerai,-22.4333,-151.3333,81.0,78,44,17.0,PF,2022-04-10 23:18:04
156,Avarua,-21.2078,-159.775,82.45,78,20,10.36,CK,2022-04-10 23:18:05
157,Sambava,-14.2667,50.1667,74.62,90,72,9.13,MG,2022-04-10 23:18:05
158,Verkhoyansk,67.5447,133.385,0.61,96,92,3.09,RU,2022-04-10 23:18:06
159,Kaiyuan,23.6977,103.3037,59.86,83,0,4.43,CN,2022-04-10 23:18:06
160,Bluff,-46.6,168.3333,56.52,67,2,18.19,NZ,2022-04-10 23:18:06
161,Port Blair,11.6667,92.75,77.04,94,20,2.3,IN,2022-04-10 23:18:07
162,Kieta,-6.2167,155.6333,84.13,68,95,2.51,PG,2022-04-10 23:18:07
163,Belmonte,-15.8631,-38.8828,77.88,79,9,8.19,BR,2022-04-10 23:18:07
164,Nanortalik,60.1432,-45.2371,30.78,80,100,3.56,GL,2022-04-10 23:18:08
165,Bairiki,1.3292,172.9752,86.0,74,20,5.75,KI,2022-04-10 23:18:08
166,Vestmannaeyjar,63.4427,-20.2734,39.54,72,100,23.94,IS,2022-04-10 23:18:08
167,Plouzane,48.3833,-4.6167,53.65,58,0,20.71,FR,2022-04-10 23:18:07
168,Cherskiy,68.75,161.3,-8.37,91,100,6.06,RU,2022-04-10 23:18:09
169,Virginia Beach,36.8529,-75.978,60.03,38,60,1.99,US,2022-04-10 23:18:09
170,Lata,40.1629,-8.3327,50.31,80,43,5.77,PT,2022-04-10 23:18:10
171,Lamu,-2.2717,40.902,82.62,74,11,13.8,KE,2022-04-10 23:18:10
172,San Patricio,28.017,-97.5169,82.49,64,86,26.75,US,2022-04-10 23:13:32
173,Baraki Barak,33.9675,68.9486,62.33,25,60,1.79,AF,2022-04-10 23:18:11
174,Ca Mau,9.1769,105.15,76.05,90,84,4.12,VN,2022-04-10 23:18:11
175,Hasaki,35.7333,140.8333,66.6,82,88,14.16,JP,2022-04-10 23:18:11
176,Asau,46.4333,26.4,40.28,93,100,5.68,RO,2022-04-10 23:18:12
177,Ajtos,42.7,27.25,40.42,93,100,17.07,BG,2022-04-10 23:18:12
178,Dargaville,-35.9333,173.8833,69.64,52,64,7.38,NZ,2022-04-10 23:18:13
179,Karratha,-20.7377,116.8463,78.51,40,0,9.28,AU,2022-04-10 23:14:44
180,Moron,-34.6534,-58.6198,73.29,81,37,7.99,AR,2022-04-10 23:18:13
181,Vester Hassing,57.0677,10.1256,37.87,84,7,10.36,DK,2022-04-10 23:18:13
182,Dire Dawa,9.5931,41.8661,71.67,61,16,7.61,ET,2022-04-10 23:18:14
183,Susuman,62.7833,148.1667,-6.81,90,95,1.79,RU,2022-04-10 23:18:14
184,Taga,46.95,24.05,36.32,85,99,3.31,RO,2022-04-10 23:18:15
185,New Norfolk,-42.7826,147.0587,55.65,54,98,3.0,AU,2022-04-10 23:19:15
186,Pathein,16.7833,94.7333,77.43,82,42,5.97,MM,2022-04-10 23:19:15
187,Pevek,69.7008,170.3133,-11.4,92,32,7.38,RU,2022-04-10 23:19:16
188,Nome,64.5011,-165.4064,33.12,86,100,0.0,US,2022-04-10 23:18:36
189,Nara,34.6851,135.8049,65.52,52,100,1.21,JP,2022-04-10 23:19:16
190,Kaseda,31.4167,130.3167,65.46,87,100,11.81,JP,2022-04-10 23:19:17
