City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Norman Wells,CA,65.282,-126.8329,11.88,83,100,5.66,overcast clouds
184,Dubrovka,RU,53.6907,33.5071,38.73,95,100,15.26,light rain
185,Bandarbeyla,SO,9.4942,50.8122,82.49,70,90,7.29,overcast clouds
186,Kawhia,NZ,-38.0651,174.8183,73.51,62,35,4.72,scattered clouds
187,Upington,ZA,-28.4478,21.2561,58.48,58,2,15.77,clear sky
188,Mingyue,CN,43.1069,128.9217,57.24,26,2,14.76,clear sky
189,Mount Gambier,AU,-37.8333,140.7667,66.11,82,40,3.44,scattered clouds
190,Acari,PE,-15.4311,-74.6158,68.88,83,100,4.81,overcast clouds
191,Roblin,CA,51.23,-101.3565,15.62,89,100,5.59,overcast clouds
192,Thunder Bay,CA,48.4001,-89.3168,24.78,83,100,11.5,overcast clouds
193,Klaksvik,FO,62.2266,-6.589,49.12,98,100,14.92,overcast clouds
194,Kungurtug,RU,50.5994,97.5228,30.43,73,100,1.07,overcast clouds
195,Chieti,IT,42.3609,14.138,57.22,96,2,6.91,mist
196,Kerrville,US,30.0474,-99.1403,75.45,79,40,1.01,scattered clouds
197,Bowen,AU,-20.0167,148.2333,80.78,59,7,16.98,clear sky
198,Saskylakh,RU,71.9167,114.0833,1.27,92,50,8.1,scattered clouds
199,Great Bend,US,38.3645,-98.7648,48.61,44,12,17.85,few clouds
200,Faanui,PF,-16.4833,-151.75,82.44,68,2,14.54,clear sky
201,Kismayo,SO,-0.3582,42.5454,80.87,82,70,6.98,broken clouds
202,Takoradi,GH,4.8845,-1.7554,79.14,84,100,6.06,overcast clouds
203,Birin,NP,26.8865,88.0718,70.21,31,4,3.4,clear sky
204,Orlik,RU,52.5178,99.825,28.38,64,94,2.82,overcast clouds
205,Waingapu,ID,-9.6567,120.2641,86.0,72,39,9.6,scattered clouds
206,Taoudenni,ML,22.6783,-3.9836,74.84,20,0,12.68,clear sky
207,Roura,GF,4.7263,-52.3274,80.96,83,20,3.44,few clouds
208,Bairiki,KI,1.3292,172.9752,86.0,70,75,5.75,broken clouds
209,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,45,75,8.95,broken clouds
210,Burayevo,RU,55.8407,55.4083,35.42,97,100,13.47,overcast clouds
211,Gimli,CA,50.6336,-96.9907,19.9,87,100,15.26,overcast clouds
212,Hofn,IS,64.2539,-15.2082,45.75,89,100,4.76,light rain
213,Farah,AF,32.5,62.5,70.9,18,100,4.52,overcast clouds
214,Torbay,CA,47.6666,-52.7314,35.58,79,91,3.0,overcast clouds
215,Nador,MA,35.174,-2.9287,55.65,71,0,3.44,clear sky
216,Hanna,CA,51.6334,-111.9018,24.85,77,100,4.0,overcast clouds
217,High Level,CA,58.5169,-117.136,25.63,90,99,3.85,overcast clouds
218,Palasa,IN,18.7667,84.4167,86.11,65,21,11.39,few clouds
219,Wattegama,LK,6.7989,81.4808,79.05,82,52,5.1,broken clouds
220,Del Rio,US,29.3627,-100.8968,84.31,54,0,10.36,clear sky
221,Jieshi,CN,22.8134,115.8257,68.7,62,44,24.34,scattered clouds
222,Pandan,PH,14.0453,124.1694,83.52,66,43,5.95,scattered clouds
223,Port Hardy,CA,50.6996,-127.4199,44.38,61,57,9.35,broken clouds
224,Itaqui,BR,-29.1253,-56.5531,53.65,78,0,8.25,clear sky
225,Khani,GE,41.9563,42.9566,31.57,81,13,5.14,few clouds
226,Ancud,CL,-41.8697,-73.8203,54.23,91,15,4.41,few clouds
227,Kawalu,ID,-7.3817,108.2082,81.84,73,89,2.24,overcast clouds
228,Florence,IT,43.7667,11.25,61.3,60,0,1.99,clear sky
229,Nuevo Progreso,MX,23.1667,-97.95,77.54,74,100,1.99,overcast clouds
230,Cabra,ES,37.4725,-4.4421,56.17,71,1,2.33,clear sky
231,Young,UY,-32.6833,-57.6333,52.3,86,0,5.75,clear sky
232,Pangnirtung,CA,66.1451,-65.7125,-4.59,87,4,6.35,clear sky
233,Luang Prabang,LA,19.8856,102.1347,92.97,36,17,1.52,few clouds
234,Atar,MR,20.5169,-13.0499,74.93,18,0,2.13,clear sky
